stem_hi1.aif,stem_hi2.aif,stem_mid.aif,stem_low1.aif,stem_low2.aif
0.001,0.013,0.077,0.003,0.007
0.003,0.010,0.054,0.103,0.010
0.028,0.015,0.051,0.266,0.101
0.037,0.016,0.050,0.110,0.391
0.039,0.015,0.050,0.033,0.180
0.022,0.015,0.049,0.012,0.086
0.015,0.019,0.052,0.003,0.055
0.011,0.014,0.052,0.001,0.027
0.007,0.051,0.047,0.000,0.015
0.004,0.026,0.061,0.000,0.018
0.003,0.015,0.054,0.000,0.015
0.001,0.012,0.054,0.007,0.014
0.002,0.015,0.054,0.261,0.016
0.018,0.015,0.050,0.909,0.032
0.023,0.015,0.038,0.705,0.198
0.017,0.015,0.036,0.614,0.213
0.009,0.011,0.042,0.580,0.769
0.005,0.013,0.038,0.496,0.830
0.003,0.013,0.045,0.435,0.761
0.002,0.011,0.047,0.395,0.837
0.002,0.012,0.048,0.260,0.756
0.001,0.011,0.037,0.196,0.642
0.001,0.010,0.031,0.078,0.612
0.003,0.014,0.031,0.026,0.694
0.013,0.013,0.029,0.012,0.730
0.018,0.013,0.039,0.017,0.652
0.024,0.012,0.043,0.015,0.585
0.016,0.017,0.030,0.013,0.632
0.008,0.014,0.032,0.008,0.694
0.005,0.015,0.035,0.004,0.660
0.003,0.013,0.038,0.001,0.567
0.002,0.013,0.034,0.000,0.581
0.001,0.013,0.030,0.000,0.649
0.001,0.010,0.034,0.000,0.656
0.002,0.013,0.030,0.000,0.568
0.023,0.013,0.025,0.000,0.548
0.035,0.015,0.018,0.000,0.604
0.021,0.016,0.019,0.000,0.638
0.011,0.016,0.021,0.000,0.583
0.006,0.013,0.020,0.000,0.527
0.004,0.014,0.024,0.000,0.560
0.003,0.016,0.019,0.000,0.609
0.002,0.014,0.025,0.000,0.589
0.002,0.011,0.023,0.000,0.509
0.006,0.013,0.022,0.000,0.523
0.165,0.018,0.020,0.000,0.577
0.902,0.017,0.023,0.000,0.588
0.696,0.012,0.023,0.000,0.536
0.400,0.008,0.020,0.000,0.693
0.193,0.012,0.017,0.000,0.797
0.074,0.022,0.016,0.000,0.646
0.033,0.016,0.029,0.000,0.559
0.017,0.016,0.031,0.000,0.559
0.011,0.016,0.026,0.000,0.512
0.007,0.013,0.024,0.000,0.507
0.006,0.013,0.031,0.000,0.490
0.005,0.015,0.025,0.000,0.466
0.005,0.015,0.021,0.000,0.462
0.004,0.013,0.027,0.000,0.332
0.004,0.014,0.027,0.000,0.189
0.003,0.011,0.018,0.000,0.075
0.003,0.011,0.026,0.000,0.048
0.003,0.014,0.023,0.000,0.047
0.002,0.012,0.020,0.000,0.035
0.002,0.013,0.022,0.000,0.018
0.002,0.016,0.020,0.000,0.019
0.002,0.012,0.015,0.000,0.014
0.002,0.009,0.019,0.025,0.011
